date,close
2016-06-15,157.31
2016-07-27,158.35
2016-09-07,159.23
2016-10-28,160.71
2016-12-09,160.26
2017-01-23,159.67
2017-03-13,160.07
2017-04-26,160.58
2017-06-12,160.28
2017-07-24,160.46
2017-09-04,160.77
2017-10-23,160.94
2017-12-04,160.83
2018-01-16,161.06
2018-03-06,162.21
2018-04-19,163.92
2018-06-04,164.69
2018-07-17,166.06
2018-08-28,166.54
2018-10-17,167.17
2018-11-28,168.63
2019-01-11,170.25
2019-03-01,171.42
2019-04-15,172.0
2019-05-30,172.56
2019-07-12,173.65
2019-08-23,174.81
2019-10-14,175.68
2019-11-25,176.35
2020-01-07,177.41
2020-02-26,179.26
2020-04-09,181.94
2020-05-26,182.69
2020-07-09,182.15
2020-08-20,182.68
2020-10-09,183.18
2020-11-20,182.93
2021-01-04,183.85
2021-02-22,184.58
2021-04-06,185.4
2021-05-21,186.5
2021-07-05,186.8
2021-08-16,188.67
2021-09-29,189.58
2021-11-17,190.39
2021-12-29,191.43
2022-02-17,192.91
2022-03-31,193.37
2022-05-19,194.58
2022-07-01,195.52
2022-08-12,196.56
2022-09-26,197.85
2022-11-14,198.42
2022-12-26,198.44
2023-02-14,199.18
2023-03-28,199.86
2023-05-15,201.39
2023-06-28,202.55
2023-08-09,203.71
2023-09-20,204.34
2023-11-09,205.21
2023-12-21,205.61
2023-12-29,206.03
